epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1300.99,0.84684,1.00833,1.14283,0.17591,0.75,0.17021,0.10618,1.17427,7.84493,1.48178,0.0011684,0.0011684,0.0011684
44,1328.81,0.94059,0.97534,1.19874,0.23091,0.75,0.20847,0.11978,1.08668,8.27339,1.43105,0.0011486,0.0011486,0.0011486
45,1354.95,1.04436,1.12658,1.29424,0.23091,0.75,0.20847,0.11978,1.08668,8.27339,1.43105,0.0011288,0.0011288,0.0011288
46,1381.46,0.89421,1.00845,1.23078,0.15962,0.75,0.18317,0.12044,1.07703,8.35739,1.48546,0.001109,0.001109,0.001109
47,1407.71,0.94867,1.01267,1.27137,0.17148,0.75,0.15779,0.08373,1.21603,8.73157,1.52162,0.0010892,0.0010892,0.0010892
48,1434.27,0.87356,1.09713,1.27721,0.15972,0.5,0.13438,0.09128,0.92424,8.01924,1.31271,0.0010694,0.0010694,0.0010694
49,1460.47,0.81728,0.96231,1.15926,0.15972,0.5,0.13438,0.09128,0.92424,8.01924,1.31271,0.0010496,0.0010496,0.0010496
50,1488.91,0.81709,0.95385,1.12401,0.22567,0.75,0.21417,0.15801,0.91764,6.1067,1.30431,0.0010298,0.0010298,0.0010298
51,1516.09,0.8277,0.97423,1.17454,0.17597,0.5,0.18641,0.15567,0.92191,6.33127,1.2829,0.00101,0.00101,0.00101
52,1542.45,0.82882,0.91645,1.13054,0.30652,0.25,0.26896,0.20883,0.9385,5.82006,1.27416,0.0009902,0.0009902,0.0009902
53,1568.59,0.78041,0.93587,1.13172,0.30652,0.25,0.26896,0.20883,0.9385,5.82006,1.27416,0.0009704,0.0009704,0.0009704
54,1595.68,0.67326,0.86109,1.09885,0.33414,0.5,0.45696,0.35689,0.97181,5.25216,1.30873,0.0009506,0.0009506,0.0009506
55,1623.32,0.8144,0.93252,1.15857,0.45057,0.5,0.52278,0.37542,1.01228,5.04629,1.45372,0.0009308,0.0009308,0.0009308
56,1649.94,0.71236,0.81319,1.0572,0.43395,0.5,0.49026,0.36549,1.05435,5.99271,1.60411,0.000911,0.000911,0.000911
57,1678,0.76452,0.8811,1.15293,0.43395,0.5,0.49026,0.36549,1.05435,5.99271,1.60411,0.0008912,0.0008912,0.0008912
58,1704.66,0.73166,0.83229,1.12634,0.31618,1,0.50708,0.36999,1.09178,5.50857,1.59828,0.0008714,0.0008714,0.0008714
59,1730.99,0.82195,0.87857,1.12251,0.27876,1,0.47286,0.33979,1.06936,4.8052,1.5003,0.0008516,0.0008516,0.0008516
60,1757.24,0.75407,0.82728,1.1496,0.26022,0.96922,0.38083,0.27581,1.08339,4.61959,1.54756,0.0008318,0.0008318,0.0008318
61,1783,0.72825,0.77126,1.07757,0.26022,0.96922,0.38083,0.27581,1.08339,4.61959,1.54756,0.000812,0.000812,0.000812
62,1810.42,0.67494,0.80734,1.10311,0.29233,0.75,0.38917,0.25588,1.15657,4.17216,1.51651,0.0007922,0.0007922,0.0007922
63,1837.35,0.71453,0.75561,1.08982,0.41913,0.72522,0.42769,0.28198,1.21555,4.32777,1.57933,0.0007724,0.0007724,0.0007724
64,1863.84,0.707,0.76415,1.06468,0.48094,0.75,0.48361,0.31356,1.15594,4.49483,1.4967,0.0007526,0.0007526,0.0007526
65,1890.44,0.65476,0.74729,1.05142,0.48094,0.75,0.48361,0.31356,1.15594,4.49483,1.4967,0.0007328,0.0007328,0.0007328
66,1918.67,0.64816,0.72727,1.04401,0.48253,0.93887,0.4975,0.36753,1.06299,4.95509,1.41841,0.000713,0.000713,0.000713
67,1945.29,0.67646,0.71548,1.04956,0.43135,1,0.48361,0.36144,1.08775,5.06277,1.46119,0.0006932,0.0006932,0.0006932
68,1973.65,0.7082,0.7964,1.10955,0.45361,0.75,0.53033,0.37988,1.07411,4.67463,1.49299,0.0006734,0.0006734,0.0006734
69,1999.44,0.67955,0.72753,1.01254,0.45361,0.75,0.53033,0.37988,1.07411,4.67463,1.49299,0.0006536,0.0006536,0.0006536
70,2027.15,0.67061,0.75311,1.08511,0.35042,0.75,0.45464,0.33684,1.24718,4.35257,1.67955,0.0006338,0.0006338,0.0006338
71,2055.61,0.68139,0.70811,1.07653,0.49036,1,0.56857,0.3837,1.27809,4.24132,1.71585,0.000614,0.000614,0.000614
72,2082.2,0.64993,0.75453,1.06359,0.48522,0.75,0.72,0.4674,1.19744,4.44678,1.58783,0.0005942,0.0005942,0.0005942
73,2109.21,0.70554,0.73133,1.09492,0.48522,0.75,0.72,0.4674,1.19744,4.44678,1.58783,0.0005744,0.0005744,0.0005744
74,2135.51,0.72022,0.76504,1.0382,0.4074,0.75,0.72,0.45614,1.15357,4.57271,1.5134,0.0005546,0.0005546,0.0005546
75,2162.56,0.62582,0.72034,1.02776,0.4225,0.75,0.645,0.39275,1.21355,4.51669,1.57244,0.0005348,0.0005348,0.0005348
76,2188.67,0.69529,0.69123,1.09444,0.38835,0.75,0.52392,0.26166,1.31919,4.21707,1.69866,0.000515,0.000515,0.000515
77,2219.39,0.68276,0.73587,1.08788,0.38835,0.75,0.52392,0.26166,1.31919,4.21707,1.69866,0.0004952,0.0004952,0.0004952
78,2247.26,0.63274,0.69876,1.03906,0.43534,0.75,0.51367,0.25896,1.41741,3.99469,1.7916,0.0004754,0.0004754,0.0004754
79,2274.54,0.60544,0.64334,1.03127,0.41233,0.5,0.41714,0.23917,1.52465,3.83902,1.87921,0.0004556,0.0004556,0.0004556
80,2301.61,0.60456,0.63919,1.04128,0.35914,0.5,0.56792,0.35227,1.45353,3.73516,1.80083,0.0004358,0.0004358,0.0004358
81,2329.8,0.62496,0.69175,1.04569,0.35914,0.5,0.56792,0.35227,1.45353,3.73516,1.80083,0.000416,0.000416,0.000416
82,2359.41,0.61993,0.66416,0.99967,0.32828,0.75,0.65125,0.44024,1.35618,3.82983,1.68714,0.0003962,0.0003962,0.0003962
83,2386.54,0.6111,0.6942,1.02963,0.34622,0.75,0.65125,0.44018,1.27317,4.10833,1.61913,0.0003764,0.0003764,0.0003764
84,2414.05,0.56578,0.67996,1.0361,0.35587,0.75,0.48625,0.33176,1.20673,4.12854,1.58587,0.0003566,0.0003566,0.0003566
85,2441.08,0.68324,0.70033,1.13314,0.35587,0.75,0.48625,0.33176,1.20673,4.12854,1.58587,0.0003368,0.0003368,0.0003368
86,2468.06,0.62324,0.78856,1.06498,0.35835,0.75,0.50381,0.33721,1.205,3.91688,1.5931,0.000317,0.000317,0.000317
87,2496.68,0.61742,0.64838,1.04701,0.37861,0.61886,0.51407,0.36866,1.23409,3.70376,1.62128,0.0002972,0.0002972,0.0002972
88,2523.23,0.57709,0.67017,1.05579,0.34322,0.75,0.50067,0.35469,1.29852,3.39552,1.66129,0.0002774,0.0002774,0.0002774
89,2548.84,0.54666,0.61464,0.98114,0.34322,0.75,0.50067,0.35469,1.29852,3.39552,1.66129,0.0002576,0.0002576,0.0002576
90,2574.91,0.55092,0.59881,1.00943,0.48698,0.5,0.50067,0.3602,1.31294,3.2057,1.65626,0.0002378,0.0002378,0.0002378
91,2603.32,0.55019,0.90739,0.98661,0.463,0.5,0.50067,0.36598,1.24312,3.10481,1.59075,0.000218,0.000218,0.000218
92,2629.82,0.59077,0.90451,1.09284,0.3659,0.75,0.50067,0.36598,1.21737,3.00326,1.55292,0.0001982,0.0001982,0.0001982
93,2656.38,0.46416,0.80548,0.91639,0.3659,0.75,0.50067,0.36598,1.21737,3.00326,1.55292,0.0001784,0.0001784,0.0001784
94,2683.23,0.48361,0.80055,0.96065,0.32948,0.98411,0.49667,0.36815,1.20926,2.99734,1.53247,0.0001586,0.0001586,0.0001586
95,2709.95,0.49579,0.78881,0.97089,0.32736,1,0.49667,0.35765,1.15315,2.99746,1.47839,0.0001388,0.0001388,0.0001388
96,2735.76,0.44998,0.75497,0.97429,0.35503,0.96618,0.51182,0.35369,1.10847,2.96411,1.44116,0.000119,0.000119,0.000119
97,2764.06,0.41245,0.70837,0.91189,0.35503,0.96618,0.51182,0.35369,1.10847,2.96411,1.44116,9.92e-05,9.92e-05,9.92e-05
98,2790.83,0.45434,0.75649,0.93864,0.35875,0.98081,0.51182,0.37457,1.13434,2.91743,1.44871,7.94e-05,7.94e-05,7.94e-05
99,2816.06,0.45677,0.77144,0.97769,0.35799,1,0.42932,0.30019,1.07532,2.94298,1.40552,5.96e-05,5.96e-05,5.96e-05
100,2841.7,0.44639,0.7354,0.97614,0.35483,1,0.42932,0.3002,0.93208,3.1031,1.28988,3.98e-05,3.98e-05,3.98e-05
